date,collection,term_count,term_ratio,doc_count,doc_ratio,sample_size
20250217,far-right,0,0,0,0,0
20250224,far-left,54,0.0108,53,0.0106,5000
20250224,center-left,40,0.008,40,0.008,5000
20250224,center,58,0.0116,57,0.0114,5000
20250224,center-right,52,0.0104,52,0.0104,5000
20250224,far-right,0,0,0,0,0
20250303,far-left,57,0.0114,53,0.0106,5000
20250303,center-left,55,0.011,54,0.0108,5000
20250303,center,56,0.0112,56,0.0112,5000
20250303,center-right,72,0.0144,71,0.0142,5000
20250303,far-right,0,0,0,0,0
20250310,far-left,52,0.0104,52,0.0104,5000
20250310,center-left,53,0.0106,53,0.0106,5000
20250310,center,41,0.0082,41,0.0082,5000
20250310,center-right,46,0.0092,46,0.0092,5000
20250310,far-right,0,0,0,0,0
20250317,far-left,44,0.0088,43,0.0086,5000
20250317,center-left,35,0.007,35,0.007,5000
20250317,center,0,0,0,0,0
20250317,center-right,0,0,0,0,0
20250317,far-right,0,0,0,0,0
20250324,far-left,49,0.0098,48,0.0096,5000
20250324,center-left,45,0.009,45,0.009,5000
20250324,center,41,0.0082,41,0.0082,5000
20250324,center-right,55,0.011,55,0.011,5000
20250324,far-right,0,0,0,0,0
20250331,far-left,56,0.0112,56,0.0112,5000
20250331,center-left,50,0.01,50,0.01,5000
20250331,center,45,0.009,44,0.0088,5000
20250331,center-right,56,0.0112,56,0.0112,5000
20250331,far-right,0,0,0,0,0
20250407,far-left,60,0.012,60,0.012,5000
20250407,center-left,50,0.01,49,0.0098,5000
20250407,center,55,0.011,55,0.011,5000
20250407,center-right,55,0.011,54,0.0108,5000
20250407,far-right,43,0.0086,42,0.0084,5000
20250414,far-left,53,0.0106,53,0.0106,5000
20250414,center-left,52,0.0104,52,0.0104,5000
20250414,center,40,0.008,39,0.0078,5000
